date,startup,vertical,subvertical,city,Investor,Type,amount,year,month,quarter
2017-08-28,mobikon,technology,restaurant & hotel crm platform,pune,sistema asia fund c31 ventures qualgro,private equity,62.3Cr,2017,8,3
2017-08-29,cure fit,consumer internet,end to end health and wellness platform.,bangalore,accel partners idg ventures kalaari capital\\xc2\\xa0 uc-rnt fund,private equity,222.5Cr,2017,8,3
2017-08-29,doxper,technology,healthtech iot platform,mumbai,idal health growx ventures capier investments globevestor and others,seed funding,6.675Cr,2017,8,3
2017-08-29,fieldassist,technology,saas based sales force automation services,gurgaon,small industries development bank of india (sidbi),debt funding,0.0Cr,2017,8,3
2017-08-30,treebo,consumer internet,budget hotel aggregator platform,bangalore,ward ferry management and karst peak capital,private equity,302.6Cr,2017,8,3
2017-08-30,medgenome,technology,genomics research and diagnostics solutions,bangalore,sequoia india,private equity,267.0Cr,2017,8,3
2017-07-01,billion loans,consumer internet,peer to peer lending platform,bangalore,reliance corporate advisory services ltd,seed funding,8.9Cr,2017,7,3
2017-07-03,ecolibriumenergy,technology,energy management solutions provider,ahmedabad,infuse ventures jll,private equity,23.14Cr,2017,7,3
2017-07-04,droom,ecommerce,online marketplace for automobiles,gurgaon,asset management (asia) ltd digital garage inc,private equity,178.0Cr,2017,7,3
2017-07-05,jumbotail,ecommerce,online marketplace for food and grocery,bangalore,kalaari capital nexus india capital advisors,private equity,75.65Cr,2017,7,3
2017-07-05,moglix,ecommerce,b2b marketplace for industrial products,noida,international finance corporation rocketship accel partners jungle ventures shailesh rao venture highway,private equity,106.8Cr,2017,7,3
2017-07-05,timesaverz,consumer internet,hyperlocal home services provider,mumbai,bccl,private equity,8.9Cr,2017,7,3
2017-07-06,minjar,technology,cloud solutions provider,bangalore,blume ventures contrarian capital india partners emergent ventures india pallav nadhani ashish gupta sharad sharma sirion labs,seed funding,0.0Cr,2017,7,3
2017-07-06,mycity4kids,consumer internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,gurgaon,undisclosed,seed funding,0.0Cr,2017,7,3
2017-07-07,clip app,consumer internet,digital media video platform,bangalore,india quotient shunwei capital,seed funding,8.9Cr,2017,7,3
2017-07-07,upwardlyin,consumer internet,mf investment platform,bangalore,sreeram iyer suvo sarkar anita gupta likemind ventures,seed funding,0.0Cr,2017,7,3
2017-07-10,autoroxco,technology,workshop management software platform,hyderabad,mitsui and co,private equity,26.7Cr,2017,7,3
2017-07-11,fabogo,consumer internet,salon & spa aggregation & discovery platform,pune,dunamis ventures pte ltd,private equity,20.025Cr,2017,7,3
2017-07-11,flickstree,consumer internet,video content discovery platform,mumbai,venture catalysts,seed funding,4.1296Cr,2017,7,3
2017-07-11,design cafe,consumer internet,online interior design platform,bangalore,fireside ventures,seed funding,0.0Cr,2017,7,3
2017-07-12,innoviti,technology,digital payments solutions,bangalore,sbi-fmo fund bessemer venture partners catamaran ventures,private equity,164.65Cr,2017,7,3
2017-07-12,vdeliver,logistics,door step delivery platform,hyderabad,corvus ventures mape advisory group,private equity,0.0Cr,2017,7,3
2017-07-12,bottrme,technology,chatbot creation tool,bangalore,500 startups purvi capital rajan anandan abhishek gupta,seed funding,0.0Cr,2017,7,3
2017-07-12,arcatron,technology,next gen mobility device manufacturer,pune,indian angel network,seed funding,0.0Cr,2017,7,3
2017-07-14,qwikspec,technology,construction site operations and analytics platform,bangalore,brigade innovations llp tv mohandas pai suhail rahman bobby reddy m george oommen,seed funding,4.806Cr,2017,7,3
2017-07-14,chumbak,ecommerce,designer consumer products marketplace,bangalore,blacksoil capital pvt ltd,private equity,15.13Cr,2017,7,3
2017-07-17,increff,technology,sales solutions for fashion brands,bangalore,sequoia capital grey orange rajesh ramaiah anshuman das rishi das,seed funding,17.8Cr,2017,7,3
2017-07-17,vayana,technology,enterprise banking solutions,pune,idg ventures india,private equity,35.6Cr,2017,7,3
2017-07-18,mobiquest,technology,mobile services & solutions,noida,one97 communications ltd,private equity,0.0Cr,2017,7,3
2017-07-18,ambee,consumer internet,ambulance aggregation services,hyderabad,uber technologies inc amaya capital llp,seed funding,0.0Cr,2017,7,3
2017-07-18,ideal insurance,consumer internet,online insurance platform,kolkata,xelpmoc,seed funding,0.0Cr,2017,7,3
2017-07-18,hypernova interactive,technology,mobile games creator,bangalore,kae capital anoop goyal mike shah va sastry,seed funding,0.0Cr,2017,7,3
2017-07-19,rentomojo,consumer internet,consumer leasing platform,bangalore,ain capital ventures renaud laplanche,private equity,89.0Cr,2017,7,3
2017-07-19,aircto,consumer internet,ai powered recruitment platform,bangalore,francesco cara,seed funding,0.0Cr,2017,7,3
2017-07-19,playablo,technology,gamified learning app,bangalore,abi-showatech (india) ltd,seed funding,5.34Cr,2017,7,3
2017-07-20,trupay,technology,online payments platform,gurgaon,kae capital mands partners,seed funding,6.23Cr,2017,7,3
2017-07-21,brick2wall,ecommerce,online marketplace for construction material,gurgaon,subramani somasundaram sundeep sahni mayank mittal and others,seed funding,1.78Cr,2017,7,3
2017-07-21,fablestreet,ecommerce,women work wear etailer,new delhi,harmeet bajaj pameela p fusiontech ventures and others,seed funding,0.0Cr,2017,7,3
2017-07-21,monsoon fintech,technology,machine learning access platform,new delhi,sunil kalra aditya singh rishi srivastava rajan anandan,seed funding,0.0Cr,2017,7,3
2017-07-21,monkeybox,consumer internet,healthy food delivery platform,bangalore,blume ventures,seed funding,0.0Cr,2017,7,3
2017-07-25,noticeboard,consumer internet,mobile-first enterprise communication platform,bangalore,stellaris venture partners,private equity,10.68Cr,2017,7,3
2017-07-25,byju\\xe2\\x80\\x99s,consumer internet,mobile learning app,bangalore,tencent holdings foxconn technology group tiger global softbank group bharti enterprises,private equity,311.5Cr,2017,7,3
2017-07-26,creator\\xe2\\x80\\x99s gurukul,others,co-working space provider,new delhi,yuvraj singh,seed funding,0.0Cr,2017,7,3
2017-07-26,fab hotels,consumer internet,budget hotels brand & aggregator platform,new delhi,goldman sachs rocket internet,private equity,222.5Cr,2017,7,3
2017-07-26,thinkerbell,consumer internet,assisted learning startup,bangalore,indian angel network,seed funding,1.78Cr,2017,7,3
2017-07-27,1mg,ecommerce,online pharmacy,gurgaon,hbm healthcare investments maverick capital ventures sequoia india omidyar network and kae capital,private equity,133.5Cr,2017,7,3
2017-07-28,jhakaas,consumer internet,app-based aggregator of offline businesses,mumbai,amen dhyllon,seed funding,0.0Cr,2017,7,3
2017-07-28,bigstylist,consumer internet,beauty services marketplace,mumbai,info edge (india) ltd and temasek,private equity,11.125Cr,2017,7,3
2017-07-28,gympikcom,consumer internet,online marketplace for discovering fitness centres,bangalore,roundglass partners llc,seed funding,0.0Cr,2017,7,3
2017-06-01,tripeur,technology,mobile based travel erp platform,bangalore,grace grace techno ventures llp rajul garg and other undisclosed investors,seed funding,0.0Cr,2017,6,2
2017-06-02,rentongo,ecommerce,"online marketplace for renting bikes, electronics & appliances",bangalore,tvs motor company,seed funding,2.0826Cr,2017,6,2
2017-06-05,goomo,consumer internet,online travel & holiday booking platform,mumbai,emerging india,private equity,445.0Cr,2017,6,2
2017-06-05,maxmywealth,consumer internet,online wealth management & savings platform,mumbai,lockchain ecosystem global advisors horseferry,private equity,0.0Cr,2017,6,2
2017-06-06,spinny,ecommerce,online used car marketplace,gurgaon,blume ventures,private equity,8.9Cr,2017,6,2
2017-06-06,healthbuds,consumer internet,healthcare discovery & booking platform,kolkata,arun patodia bharat kedia,seed funding,0.0Cr,2017,6,2
2017-06-06,ftcash,consumer internet,mobile payments platform,mumbai,500 startups ivycap ventures,private equity,0.0Cr,2017,6,2
2017-06-06,bhive workspace,consumer internet,co-working spaces,bangalore,blume ventures,private equity,10.68Cr,2017,6,2
2017-06-06,wayforward,consumer internet,mobile app for mental health,new delhi,harsh mahajan farhan naqvi sreepathy viswanathan,seed funding,8.9Cr,2017,6,2
2017-06-06,gyandhan,consumer internet,education marketplace,new delhi,sundaram finance holdings,private equity,0.0Cr,2017,6,2
